head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
True,,hatjandam,izwis,,,verb,personal pronoun,,,obl,,,0,,participle,,obl non finita,
True,True,usþriutandans,izwis,διωκόντων,ὑμᾶς,verb,personal pronoun,verb,personal pronoun,gerundi obl,gerundi obl,old,0,0.0,participle,participle,gerundi obl non finita,gerundi obl non finita
False,False,urranneiþ,sunnon,ἀνατέλλει,ἥλιον,verb,common noun,verb,common noun,subordinata completiva coordinata,subordinata avverbiale coordinata,acc_gen,1,2.0,indicative,indicative,subordinata completiva coordinata finita,subordinata avverbiale coordinata finita
True,True,frijondans,izwis,ἀγαπῶντας,ὑμᾶς,verb,personal pronoun,verb,personal pronoun,relativa oggettiva,relativa oggettiva,old,0,0.0,participle,participle,relativa oggettiva non finita,relativa oggettiva non finita
False,False,habaiþ,ƕo,ἔχετε,τίνα,verb,interrogative pronoun,verb,interrogative pronoun,principale,principale,,1,0.0,indicative,indicative,principale finita,principale finita
True,True,goleiþ,frijonds,ἀσπάσησθε,ἀδελφοὺς,verb,common noun,verb,common noun,,,new,3,3.0,indicative,subjunctive,,
False,False,taujan,armaion,ποιεῖν,δικαιοσύνην,verb,common noun,verb,common noun,open predication,open predication,new,1,2.0,infinitive,infinitive,open predication non finita,open predication non finita
False,False,habaiþ,laun,ἔχετε,μισθὸν,verb,common noun,verb,common noun,principale,principale,non_spec,0,0.0,indicative,indicative,principale finita,principale finita
True,True,taujais,armaion,ποιῇς,ἐλεημοσύνην,verb,common noun,verb,common noun,,subordinata avverbiale,non_spec,0,0.0,optative,subjunctive,,subordinata avverbiale finita
True,True,andnemun,mizdon,ἀπέχουσιν,μισθὸν,verb,common noun,verb,common noun,principale,principale,new,1,2.0,indicative,indicative,principale finita,principale finita
True,True,taujandan,armaion,ποιοῦντος,ἐλεημοσύνην,verb,common noun,verb,common noun,subordinata avverbiale,subordinata avverbiale,non_spec_old,0,0.0,participle,participle,subordinata avverbiale non finita,subordinata avverbiale non finita
False,False,taujiþ,ƕa,ποιεῖ,τί,verb,interrogative pronoun,verb,interrogative pronoun,subordinata completiva,subordinata completiva,non_spec,0,0.0,indicative,indicative,subordinata completiva finita,subordinata completiva finita
True,True,haband,mizdon,ἀπέχουσιν,μισθὸν,verb,common noun,verb,common noun,subordinata completiva,principale,new,1,2.0,indicative,indicative,subordinata completiva finita,principale finita
True,True,bidjaiþ,ina,αἰτῆσαι,αὐτόν,verb,personal pronoun,verb,personal pronoun,,gerundi obl,old,0,0.0,optative,infinitive,,gerundi obl non finita
False,False,gif,hlaif,δὸς,ἄρτον,verb,common noun,verb,common noun,principale,principale,new,2,3.0,imperative,imperative,principale finita,principale finita
True,True,briggais,uns,εἰσενέγκῃς,ἡμᾶς,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,0,0.0,optative,subjunctive,principale coordinata finita,principale coordinata finita
True,True,lausei,uns,ῥῦσαι,ἡμᾶς,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,0,0.0,imperative,imperative,principale coordinata finita,principale coordinata finita
True,True,afletiþ,missadedins,ἀφῆτε,παραπτώματα,verb,common noun,verb,common noun,subordinata completiva,,new,1,2.0,indicative,subjunctive,subordinata completiva finita,
True,,afletiþ,missadedins,ἀφῆτε,,verb,common noun,verb,,,,,1,,indicative,subjunctive,,
True,True,afletiþ,missadedins,ἀφήσει,παραπτώματα,verb,common noun,verb,common noun,principale,principale,new,1,2.0,indicative,indicative,principale finita,principale finita
True,True,frawardjand,andwairþja,ἀφανίζουσιν,πρόσωπα,verb,common noun,verb,common noun,principale,principale,new,1,2.0,indicative,indicative,principale finita,principale finita
True,True,andnemun,mizdon,ἀπέχουσιν,μισθὸν,verb,common noun,verb,common noun,subordinata completiva,principale,new,1,2.0,indicative,indicative,subordinata completiva finita,principale finita
True,True,salbo,haubiþ,ἄλειψαί,κεφαλὴν,verb,common noun,verb,common noun,principale coordinata,principale coordinata,new,1,2.0,imperative,imperative,principale coordinata finita,principale coordinata finita
False,False,þwah,ludja,νίψαι,πρόσωπόν,verb,common noun,verb,common noun,principale coordinata,principale coordinata,new,1,2.0,imperative,imperative,principale coordinata finita,principale coordinata finita
True,True,huzdjaiþ,huzda,θησαυρίζετε,θησαυροὺς,verb,common noun,verb,common noun,principale,principale,non_spec,0,0.0,optative,imperative,principale finita,principale finita
True,True,huzdjaiþ,huzda,θησαυρίζετε,θησαυροὺς,verb,common noun,verb,common noun,principale,principale,non_spec,0,0.0,optative,imperative,principale finita,principale finita
False,False,matjaiþ,ƕa,φάγητε,τί,verb,interrogative pronoun,verb,interrogative pronoun,subordinata completiva,subordinata completiva,non_spec,0,0.0,optative,subjunctive,subordinata completiva finita,subordinata completiva finita
False,,drigkaiþ,ƕa,,τί,verb,interrogative pronoun,,interrogative pronoun,subordinata completiva,,non_spec,0,0.0,optative,,subordinata completiva finita,
