head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
True,True,оставльша,мрѣжѧ,ἀφέντες,δίκτυα,verb,common noun,verb,common noun,open predication,open predication,acc_inf,1,1.0,participle,participle,open predication non finita,open predication non finita
True,True,завѧзаѭшта,мрѣжѧ,καταρτίζοντας,δίκτυα,verb,common noun,verb,common noun,open predication,open predication,acc_inf,0,1.0,participle,participle,open predication non finita,open predication non finita
True,True,възъва,ѣ,ἐκάλεσεν,αὐτούς,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,0,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,оставльша,отъца,ἀφέντες,πατέρα,verb,common noun,verb,common noun,open predication,open predication,old,2,3.0,participle,participle,open predication non finita,open predication non finita
True,,оучаше,ѩ,ἐδίδασκεν,,verb,personal pronoun,verb,,principale,principale,,0,,indicative,indicative,principale finita,principale finita
False,False,ꙇ҅мꙑ,власть,ἔχων,ἐξουσίαν,verb,common noun,verb,common noun,relativa soggettiva,relativa soggettiva,info_unannotatable,0,0.0,participle,participle,relativa soggettiva non finita,relativa soggettiva non finita
True,True,погоубитъ,насъ,ἀπολέσαι,ἡμᾶς,verb,personal pronoun,verb,personal pronoun,open predication,open predication,old,0,0.0,supine,infinitive,open predication finita,open predication non finita
True,True,вѣмь,тѧ,οἴδαμέν,σε,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,сътрѧсъ,і,σπαράξαν,αὐτὸν,verb,personal pronoun,verb,personal pronoun,open predication in coordinazione,open predication in coordinazione,old,0,0.0,participle,participle,open predication in coordinazione non finita,open predication in coordinazione non finita
True,True,вьздвиже,ѭ,ἤγειρεν,αὐτὴν,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,остави,ѭ,ἀφῆκεν,αὐτὴν,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,0,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,ꙇмѫштѧ,ѩѕѧ,ἔχοντας,νόσοις,verb,common noun,verb,common noun,relativa,relativa oggettiva,non_spec,1,1.0,participle,participle,relativa non finita,relativa oggettiva non finita
False,False,ꙇзгъна,бѣсꙑ,ἐξέβαλεν,δαιμόνια,verb,common noun,verb,common noun,principale coordinata,principale coordinata,quant,1,1.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,оставлѣше,бѣсъ,ἤφιεν,δαιμόνια,verb,common noun,verb,common noun,principale coordinata,principale coordinata,non_spec_old,0,1.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,видѣахѫ,и,ᾔδεισαν,αὐτόν,verb,personal pronoun,verb,personal pronoun,,,old,0,0.0,indicative,indicative,,
False,,дѣаше,молитвѫ,προσηύχετο,,verb,common noun,verb,,principale coordinata,principale coordinata,,0,,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,гънашѧ,и,κατεδίωξεν,αὐτὸν,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,0,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,обрѣтъше,и,εὗρον,αὐτὸν,verb,personal pronoun,verb,personal pronoun,open predication,principale coordinata,old,0,0.0,participle,indicative,open predication non finita,principale coordinata finita
False,False,изгонѧ,бѣсꙑ,ἐκβάλλων,δαιμόνια,verb,common noun,verb,common noun,open predication in coordinazione,open predication in coordinazione,non_spec,0,1.0,participle,participle,open predication in coordinazione non finita,open predication in coordinazione non finita
